cargo-bloat per-function breakdown (2026-04-04)
Branch: issue/compiled-size-improvements @ 369c97cf
Profile: release (opt-level="z", fat LTO, codegen-units=1, strip, panic="abort")
Features: default (prometheus+skill-creation+email+mqtt+telegram+tui)
Command: cargo bloat --release -n 40

 File  .text     Size          Crate Name
 0.7%   1.7% 193.2KiB       zeroclaw zeroclaw::config::schema::_::<impl serde_core::ser::Serialize for zeroclaw::config::schema::Config>::serialize
 0.5%   1.1% 131.1KiB       zeroclaw zeroclaw::main::{{closure}}
 0.3%   0.8%  86.4KiB regex_automata regex_automata::meta::strategy::new
 0.3%   0.7%  83.7KiB       zeroclaw zeroclaw::config::schema::_::<impl schemars::JsonSchema for zeroclaw::config::schema::Config>::json_schema
 0.2%   0.5%  61.9KiB      zeroclaw? <zeroclaw::Commands as clap_builder::derive::Subcommand>::augment_subcommands
 0.2%   0.5%  61.7KiB       zeroclaw zeroclaw::channels::process_channel_message::{{closure}}
 0.2%   0.5%  56.4KiB       zeroclaw zeroclaw::agent::loop_::run_tool_call_loop::{{closure}}
 0.2%   0.5%  53.8KiB      zeroclaw? <zeroclaw::config::schema::_::<impl serde_core::de::Deserialize for zeroclaw::config::schema::Config>::deserialize::__Visitor as serde_core::de::Visitor>::visit_map
 0.2%   0.5%  52.9KiB       zeroclaw zeroclaw::onboard::wizard::setup_channels
 0.2%   0.4%  42.7KiB       zeroclaw zeroclaw::handle_auth_command::{{closure}}
 0.2%   0.4%  41.0KiB       zeroclaw zeroclaw::gateway::run_gateway::{{closure}}
 0.1%   0.3%  38.0KiB       zeroclaw zeroclaw::agent::loop_::run::{{closure}}
 0.1%   0.3%  33.3KiB       zeroclaw zeroclaw::tools::all_tools_with_runtime
 0.1%   0.3%  32.6KiB       zeroclaw zeroclaw::tui::onboarding::render
 0.1%   0.3%  31.3KiB         rustls rustls::msgs::handshake::HandshakeMessagePayload::read_version
 0.1%   0.3%  30.8KiB       zeroclaw zeroclaw::providers::create_provider_with_url_and_options
 0.1%   0.3%  28.6KiB       zeroclaw <zeroclaw::channels::slack::SlackChannel as zeroclaw::channels::traits::Channel>::listen::{{closure}}
 0.1%   0.2%  28.3KiB       zeroclaw <zeroclaw::tools::jira_tool::JiraTool as zeroclaw::tools::traits::Tool>::execute::{{closure}}
 0.1%   0.2%  28.2KiB       zeroclaw zeroclaw::channels::start_channels::{{closure}}
 0.1%   0.2%  28.1KiB       zeroclaw zeroclaw::config::schema::_::<impl serde_core::ser::Serialize for zeroclaw::config::schema::ChannelsConfig>::serialize
 0.1%   0.2%  27.2KiB       zeroclaw <zeroclaw::tools::linkedin::LinkedInTool as zeroclaw::tools::traits::Tool>::execute::{{closure}}
 0.1%   0.2%  26.6KiB       zeroclaw zeroclaw::onboard::wizard::setup_provider::{{closure}}
 0.1%   0.2%  26.3KiB       zeroclaw zeroclaw::daemon::spawn_component_supervisor::{{closure}}
 0.1%   0.2%  25.7KiB       zeroclaw <zeroclaw::channels::telegram::TelegramChannel as zeroclaw::channels::traits::Channel>::listen::{{closure}}
 0.1%   0.2%  25.1KiB       zeroclaw zeroclaw::skills::install_clawhub_skill_source
 0.1%   0.2%  25.1KiB       zeroclaw zeroclaw::onboard::wizard::run_wizard::{{closure}}
 0.1%   0.2%  25.1KiB       zeroclaw zeroclaw::tools::microsoft365::Microsoft365Tool::dispatch::{{closure}}
 0.1%   0.2%  25.0KiB      [Unknown] sqlite3VdbeExec
 0.1%   0.2%  22.6KiB       zeroclaw zeroclaw::tui::onboarding::run_tui_onboarding::{{closure}}
 0.1%   0.2%  22.6KiB      zeroclaw? <zeroclaw::Commands as clap_builder::derive::FromArgMatches>::from_arg_matches_mut
 0.1%   0.2%  20.8KiB       zeroclaw <zeroclaw::tools::knowledge_tool::KnowledgeTool as zeroclaw::tools::traits::Tool>::execute::{{closure}}
 0.1%   0.2%  20.8KiB        reqwest h2::proto::connection::DynConnection<B>::recv_frame
 0.1%   0.2%  20.3KiB       zeroclaw <zeroclaw::tools::composio::ComposioTool as zeroclaw::tools::traits::Tool>::execute::{{closure}}
 0.1%   0.2%  20.2KiB      zeroclaw? <zeroclaw::config::schema::_::<impl serde_core::de::Deserialize for zeroclaw::config::schema::ChannelsConfig>::deserialize::__Visitor as serde_core::de::Visitor>::visit_map
 0.1%   0.2%  20.0KiB       zeroclaw <zeroclaw::tools::browser::BrowserTool as zeroclaw::tools::traits::Tool>::execute::{{closure}}
 0.1%   0.2%  19.9KiB       zeroclaw <zeroclaw::tools::model_routing_config::ModelRoutingConfigTool as zeroclaw::tools::traits::Tool>::execute::{{closure}}
 0.1%   0.2%  19.2KiB       zeroclaw zeroclaw::gateway::run_gateway::{{closure}}::{{closure}}
 0.1%   0.2%  19.1KiB       zeroclaw zeroclaw::memory::create_memory_with_storage_and_routes
 0.1%   0.2%  19.0KiB         rustls rustls::server::hs::ExpectClientHello::with_certified_key
 0.1%   0.2%  19.0KiB         rustls rustls::msgs::handshake::HandshakeMessagePayload::read_version
36.5%  86.0%   9.6MiB                And 29115 smaller methods. Use -n N to show more.
42.4% 100.0%  11.1MiB                .text section size, the file size is 26.3MiB
