test_id,date,commit,extraction_state,profile,touched_file,crates_recompiled,crate_names,run1_secs,run2_secs,run3_secs,median_secs,notes
dev-types-channel,2026-04-07,13f25f7a,monolith,dev,crates/zeroclaw-types/src/channel.rs,6,zeroclaw-types;zeroclawlabs;zeroclaw-config;zeroclaw-infra;zeroclaw-memory;zeroclaw-providers,25.4,34.9,32.4,32.4,
dev-config-schema,2026-04-07,13f25f7a,monolith,dev,crates/zeroclaw-config/src/schema.rs,4,zeroclaw-config;zeroclawlabs;zeroclaw-providers;zeroclaw-memory,23.7,24.9,24.5,24.5,
dev-memory-sqlite,2026-04-07,13f25f7a,monolith,dev,crates/zeroclaw-memory/src/sqlite.rs,2,zeroclawlabs;zeroclaw-memory,22.5,21.2,21.1,21.2,
dev-providers-anthropic,2026-04-07,13f25f7a,monolith,dev,crates/zeroclaw-providers/src/anthropic.rs,2,zeroclawlabs;zeroclaw-providers,22.7,23.8,23.0,23.0,
dev-infra-debounce,2026-04-07,13f25f7a,monolith,dev,crates/zeroclaw-infra/src/debounce.rs,2,zeroclawlabs;zeroclaw-infra,20.2,20.7,20.2,20.2,
dev-root-main,2026-04-07,13f25f7a,monolith,dev,src/main.rs,1,zeroclawlabs,20.8,20.6,20.9,20.8,
dev-root-telegram,2026-04-07,13f25f7a,monolith,dev,src/channels/telegram.rs,1,zeroclawlabs,22.6,22.4,22.0,22.4,
dev-root-agent,2026-04-07,13f25f7a,monolith,dev,src/agent/loop_.rs,1,zeroclawlabs,21.9,27.9,28.5,27.9,
release-types-channel,2026-04-07,13f25f7a,monolith,release,crates/zeroclaw-types/src/channel.rs,6,zeroclaw-types;zeroclawlabs;zeroclaw-config;zeroclaw-infra;zeroclaw-providers;zeroclaw-memory,427.3,363.3,433.4,427.3,
release-config-schema,2026-04-07,13f25f7a,monolith,release,crates/zeroclaw-config/src/schema.rs,4,zeroclaw-config;zeroclawlabs;zeroclaw-providers;zeroclaw-memory,432.2,360.9,377.6,377.6,
release-memory-sqlite,2026-04-07,13f25f7a,monolith,release,crates/zeroclaw-memory/src/sqlite.rs,2,zeroclawlabs;zeroclaw-memory,335.7,393.7,336.0,336.0,
release-providers-anthropic,2026-04-07,13f25f7a,monolith,release,crates/zeroclaw-providers/src/anthropic.rs,2,zeroclaw-providers;zeroclawlabs,375.0,366.7,409.0,375.0,
release-infra-debounce,2026-04-07,13f25f7a,monolith,release,crates/zeroclaw-infra/src/debounce.rs,2,zeroclawlabs;zeroclaw-infra,397.5,327.2,353.9,353.9,
release-root-main,2026-04-07,13f25f7a,monolith,release,src/main.rs,1,zeroclawlabs,338.8,399.5,330.4,338.8,
release-root-telegram,2026-04-07,13f25f7a,monolith,release,src/channels/telegram.rs,1,zeroclawlabs,374.5,345.9,402.5,374.5,
release-root-agent,2026-04-07,13f25f7a,monolith,release,src/agent/loop_.rs,1,zeroclawlabs,366.2,383.0,331.8,366.2,
ci-types-channel,2026-04-07,13f25f7a,monolith,ci,crates/zeroclaw-types/src/channel.rs,6,zeroclaw-types;zeroclawlabs;zeroclaw-config;zeroclaw-infra;zeroclaw-memory;zeroclaw-providers,207.2,248.2,209.2,209.2,
ci-config-schema,2026-04-07,13f25f7a,monolith,ci,crates/zeroclaw-config/src/schema.rs,4,zeroclaw-config;zeroclawlabs;zeroclaw-providers;zeroclaw-memory,206.1,207.7,251.2,207.7,
ci-memory-sqlite,2026-04-07,13f25f7a,monolith,ci,crates/zeroclaw-memory/src/sqlite.rs,2,zeroclawlabs;zeroclaw-memory,175.1,187.3,190.9,187.3,
ci-providers-anthropic,2026-04-07,13f25f7a,monolith,ci,crates/zeroclaw-providers/src/anthropic.rs,2,zeroclawlabs;zeroclaw-providers,184.7,179.8,189.4,184.7,
ci-infra-debounce,2026-04-07,13f25f7a,monolith,ci,crates/zeroclaw-infra/src/debounce.rs,2,zeroclawlabs;zeroclaw-infra,199.2,196.4,168.0,196.4,
ci-root-main,2026-04-07,13f25f7a,monolith,ci,src/main.rs,1,zeroclawlabs,180.6,188.3,215.2,188.3,
ci-root-telegram,2026-04-07,13f25f7a,monolith,ci,src/channels/telegram.rs,1,zeroclawlabs,180.7,176.5,178.8,178.8,
ci-root-agent,2026-04-07,13f25f7a,monolith,ci,src/agent/loop_.rs,1,zeroclawlabs,208.3,175.0,188.9,188.9,
dev-types-channel-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-types/src/channel.rs,9,zeroclaw-types;zeroclawlabs;zeroclaw-config;zeroclaw-infra;zeroclaw-memory;zeroclaw-providers;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,28.4,28.0,20.4,28.0,
dev-config-schema-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-config/src/schema.rs,7,zeroclaw-config;zeroclawlabs;zeroclaw-memory;zeroclaw-providers;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,22.9,23.8,25.0,23.8,
dev-memory-sqlite-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-memory/src/sqlite.rs,5,zeroclaw-memory;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,16.2,16.0,15.0,16.0,
dev-providers-anthropic-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-providers/src/anthropic.rs,5,zeroclaw-providers;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,16.6,16.4,16.5,16.5,
dev-channels-discord-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-channels/src/discord.rs,4,zeroclaw-channels;zeroclawlabs;zeroclaw-tools;zeroclaw-core,15.0,14.2,15.2,15.0,
dev-tools-browser-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-tools/src/browser.rs,3,zeroclaw-tools;zeroclawlabs;zeroclaw-core,13.0,12.7,13.1,13.0,
dev-core-security-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-core/src/security/mod.rs,2,zeroclawlabs;zeroclaw-core,11.6,11.7,11.8,11.7,
dev-infra-debounce-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,crates/zeroclaw-infra/src/debounce.rs,5,zeroclaw-infra;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,14.4,14.3,14.5,14.4,
dev-root-main-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,src/main.rs,1,zeroclawlabs,9.5,10.0,10.2,10.0,
dev-root-agent-v2,2026-04-07,13f25f7a,8-crate-workspace,dev,src/agent/loop_.rs,1,zeroclawlabs,9.7,10.1,10.1,10.1,
release-types-channel-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-types/src/channel.rs,9,zeroclaw-types;zeroclawlabs;zeroclaw-config;zeroclaw-infra;zeroclaw-providers;zeroclaw-memory;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,371.0,299.1,339.7,339.7,
release-config-schema-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-config/src/schema.rs,7,zeroclaw-config;zeroclawlabs;zeroclaw-memory;zeroclaw-providers;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,291.2,337.7,323.9,323.9,
release-memory-sqlite-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-memory/src/sqlite.rs,5,zeroclaw-memory;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,356.9,266.0,286.5,286.5,
release-providers-anthropic-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-providers/src/anthropic.rs,5,zeroclaw-providers;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,274.3,287.0,347.2,287.0,
release-channels-discord-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-channels/src/discord.rs,4,zeroclaw-channels;zeroclawlabs;zeroclaw-tools;zeroclaw-core,282.1,317.9,258.9,282.1,
release-tools-browser-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-tools/src/browser.rs,3,zeroclaw-tools;zeroclawlabs;zeroclaw-core,320.0,247.5,243.5,247.5,
release-core-security-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-core/src/security/mod.rs,2,zeroclawlabs;zeroclaw-core,250.3,242.0,270.8,250.3,
release-infra-debounce-v2,2026-04-07,13f25f7a,8-crate-workspace,release,crates/zeroclaw-infra/src/debounce.rs,5,zeroclaw-infra;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,268.3,348.0,274.5,274.5,
release-root-main-v2,2026-04-07,13f25f7a,8-crate-workspace,release,src/main.rs,1,zeroclawlabs,283.9,211.6,234.4,234.4,
release-root-agent-v2,2026-04-07,13f25f7a,8-crate-workspace,release,src/agent/loop_.rs,1,zeroclawlabs,231.2,230.8,259.5,231.2,
ci-types-channel-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-types/src/channel.rs,9,zeroclaw-types;zeroclawlabs;zeroclaw-config;zeroclaw-infra;zeroclaw-providers;zeroclaw-memory;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,198.3,201.0,186.6,198.3,
ci-config-schema-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-config/src/schema.rs,7,zeroclaw-config;zeroclawlabs;zeroclaw-providers;zeroclaw-memory;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,154.1,180.6,187.7,180.6,
ci-memory-sqlite-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-memory/src/sqlite.rs,5,zeroclaw-memory;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,166.6,144.0,134.6,144.0,
ci-providers-anthropic-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-providers/src/anthropic.rs,5,zeroclaw-providers;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,172.9,182.1,175.3,175.3,
ci-channels-discord-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-channels/src/discord.rs,4,zeroclaw-channels;zeroclawlabs;zeroclaw-tools;zeroclaw-core,149.0,155.8,161.8,155.8,
ci-tools-browser-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-tools/src/browser.rs,3,zeroclaw-tools;zeroclawlabs;zeroclaw-core,134.4,134.3,116.5,134.3,
ci-core-security-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-core/src/security/mod.rs,2,zeroclawlabs;zeroclaw-core,117.2,119.5,137.7,119.5,
ci-infra-debounce-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,crates/zeroclaw-infra/src/debounce.rs,5,zeroclaw-infra;zeroclawlabs;zeroclaw-channels;zeroclaw-tools;zeroclaw-core,153.3,145.4,134.8,145.4,
ci-root-main-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,src/main.rs,1,zeroclawlabs,110.2,104.3,105.6,105.6,
ci-root-agent-v2,2026-04-08,13f25f7a,8-crate-workspace,ci,src/agent/loop_.rs,1,zeroclawlabs,109.4,119.5,107.8,109.4,
clean-build-dev,2026-04-08,6aeabacf,8-crate-workspace,dev,clean-build (all crates),0,,209,209,209,209,clean build from cargo clean
clean-build-release,2026-04-08,6aeabacf,8-crate-workspace,release,clean-build (all crates),0,,406,406,406,406,clean build from cargo clean
clean-build-ci,2026-04-08,6aeabacf,8-crate-workspace,ci,clean-build (all crates),0,,220,220,220,220,clean build from cargo clean
